Product ID,Product Name,Category,Date,Quantity,Product Cost,Revenue,Profit,Region,Customer ID
PRD-012,Colgate Maximum Cavity 120g,Personal Care,01/01/2024,1,150,200,50,Rawalpindi - Saddar,CUST-6502
PRD-016,K&N's Chicken Nuggets 1kg,Frozen Food,01/01/2024,2,2400,3100,700,Islamabad - F7,CUST-2813
PRD-001,Shan Bombay Biryani Masala,Groceries,01/01/2024,2,180,260,80,Rawalpindi - Saddar,CUST-1331
PRD-002,Nutella Hazelnut Spread 750g,Groceries,01/01/2024,6,10800,14400,3600,Karachi - Clifton,CUST-5061
PRD-022,Surf Excel Washing Powder 1kg,Household,01/01/2024,2,1200,1500,300,Islamabad - Centaurus,CUST-7577
PRD-021,Pampers Baby Dry Size 4,Baby Care,01/01/2024,3,6600,8400,1800,Islamabad - Centaurus,CUST-8013
PRD-024,Rose Petal Tissues,Household,01/01/2024,6,780,1080,300,Lahore - DHA,CUST-5826
PRD-008,Red Bull Energy Drink,Beverages,01/01/2024,1,300,400,100,Islamabad - Centaurus,CUST-8513
PRD-002,Nutella Hazelnut Spread 750g,Groceries,02/01/2024,6,10800,14400,3600,Lahore - DHA,CUST-2843
PRD-019,Tapal Danedar Tea 450g,Groceries,02/01/2024,5,3750,4500,750,Lahore - DHA,CUST-8523
PRD-012,Colgate Maximum Cavity 120g,Personal Care,02/01/2024,1,150,200,50,Islamabad - Centaurus,CUST-1775
PRD-023,Vim Dishwash Liquid 500ml,Household,02/01/2024,6,1200,1680,480,Rawalpindi - Saddar,CUST-7005
PRD-013,Mitchell's Apple Jam 450g,Groceries,02/01/2024,2,500,700,200,Karachi - Clifton,CUST-1296
PRD-010,Sufi Banaspati Ghee 1kg,Groceries,02/01/2024,1,450,550,100,Rawalpindi - Saddar,CUST-4752
PRD-009,Lipton Yellow Label Tea 900g,Groceries,02/01/2024,6,8400,10200,1800,Islamabad - Centaurus,CUST-7119
PRD-024,Rose Petal Tissues,Household,02/01/2024,5,650,900,250,Islamabad - F7,CUST-9367
PRD-004,National Tomato Ketchup 800g,Groceries,02/01/2024,6,2100,2700,600,Lahore - Gulberg,CUST-9021
PRD-007,Olio Carli Olive Oil 1L,Groceries,02/01/2024,2,6400,8200,1800,Islamabad - F7,CUST-1886
PRD-020,Head & Shoulders Shampoo 400ml,Cosmetics,02/01/2024,3,2100,2850,750,Lahore - DHA,CUST-7274
PRD-011,Dettol Original Soap 115g,Personal Care,02/01/2024,5,500,700,200,Faisalabad - Kohinoor,CUST-2330
PRD-019,Tapal Danedar Tea 450g,Groceries,02/01/2024,3,2250,2700,450,Faisalabad - Kohinoor,CUST-2573
PRD-010,Sufi Banaspati Ghee 1kg,Groceries,02/01/2024,1,450,550,100,Lahore - Gulberg,CUST-9794
PRD-013,Mitchell's Apple Jam 450g,Groceries,02/01/2024,3,750,1050,300,Islamabad - Centaurus,CUST-9027
PRD-009,Lipton Yellow Label Tea 900g,Groceries,02/01/2024,6,8400,10200,1800,Islamabad - Centaurus,CUST-4547
